title,content
"""친구들과 이야기하는 원자력 안전"" 1. 원자력이란?","(*원자력이 무엇인가부터 시작합니다. 내용이 길고 재미가 별로 없으나, 원자력 안전을 이야기하기 위해 필요한 최소한의 지식입니다. 첨부된 그림과 함께 보시면 이해하기 쉬울 것입니다.) [원자력에는 핵분열에너지, 핵융합에너지, 방사능이 있습니다.] ‘원자력’(Atomic Energy)은 ‘원자핵(뒤에 다시 설명할게요)이 다른 종류로 변환되면서 발생하는 에너지’로서, ‘원자핵에너지’(Nuclear Energy) 또는 더 단순하게 ‘핵에너지’라고도 합니다.  원자력은 아인슈타인이 1905년 발표한 ‘특수 상대성 이론’(Special Theory of Relativity)과 관계가 있습니다. 이에 따르면 물질과 에너지가 서로 변환 가능하고, [에너지]=[질량]x[광속(빛의 속도)의 제곱]의 관계가 성립합니다. 페북에서 수식 표현이 자유롭지 않은데, E = mc2 정도로 표현할 수 있을까요? 아인슈타인 관련 사진이나 그림에서 많이 보셨을 겁니다. 아이들의 집중력이 좋아지게 한다는 ‘엠씨스퀘어’도 여기에서 비롯되었겠지요?(저는 사주지 않았습니다만...) 단 1 그램(g)의 질량만 완전히 소멸하여 에너지로 변환되더라도 무려 90조 주울(J) 또는 2,500만 kWh가 생성되는데, 이는 100만kW (1,000MW) 용량의 발전소가 25시간 생산하는 전기의 양과 같습니다. 원자력을 말할 때 보통 ‘핵분열’과 ‘핵융합’만을 이야기하지만, 실제로는 한 가지가 더 있다는 것을 기억하면 좋겠습니다. - ‘핵분열’(Nuclear Fission) 반응: 우라늄과 같이 무거운 원자핵이 가벼운 원자핵들로 쪼개지면서 질량이 줄어들고 에너지가 방출되는 것 - ‘핵융합’(Nuclear Fusion) 반응: 수소와 같이 가벼운 원자핵들이 결합되어 무거운 원자핵으로 되면서 질량이 줄어들고 에너지가 방출되는 것 - ‘방사성 붕괴’(Radioactive Decay): 방사성물질(방사능을 지닌 물질)의 불안정한 원자핵이 에너지를 지닌 방사선(Radiation)을 방출하는 현상 세 가지 반응에 대해서는 뒤에서 좀더 다루기로 하고, 먼저 이용 현황"
"""친구들과 이야기하는 원자력 안전"" 1. 원자력이란? (Part 2)","을 소개합니다. 현재 핵분열은 원자력발전소와 원자폭탄뿐만 아니라, 연구용원자로, 잠수함, 항공모함, 쇄빙선 등에서 광범위하게 이용하고 있습니다. 핵융합은 태양을 비롯한 항성들의 에너지원이며, 지구상에서도 핵융합을 이용한 수소폭탄이 1950년대 초에 개발되었으나, 에너지 생산을 위한 핵융합 원자로의 개발은 아직 진행 중입니다. 방사능 또는 방사선은 의학적, 농학적, 공학적으로 다양하게 사용되고 있고, 먼 거리를 탐사하는 우주선들의 에너지원으로서도 널리 사용됩니다. [간단한 원자 모델을 알면 원자력을 이해하기 쉽습니다.]  모든 물질은 ‘원자’(Atom)들로 이루어져 있습니다. 쿼크같은 복잡한 소립자 이론을 피하면서 최대한 간단하게 원자를 설명합니다. 원자는 중심부의 ‘원자핵’(Nucleus)과 그 주위를 초고속으로 도는 ‘전자’(Electron)들로 구성됩니다. 그런데 원자핵의 크기는 원자에 비해 매우 작아서 흔히 큰 축구경기장(원자)과 축구공(원자핵)으로 비유하지요. 원자핵은 양전기를 띠는 ‘양성자’(Proton)들과 전기적으로 중성인 ‘중성자’(Neutron)들이 강한 ‘핵력’으로 결합되어 있습니다. 양성자와 중성자는 질량이 거의 같고, 전자는 그들의 약 1/1,800 수준으로 훨씬 가볍습니다. 따라서 원자에서 매우 작은 체적을 차지하는 원자핵이 질량은 거의 대부분을 차지합니다. 한편 양성자는 양(+)의 전기를 전자는 음(-)의 전기를 띠고 있는데, 그 크기가 같습니다. 일반적인 상태의 원자는 양성자의 수와 전자의 수가 같으므로 전기적으로 중성입니다. 우리는 흔히 수소-1, 수소-3, 탄소-12, 탄소-14, 세슘-133, 세슘-137, 우라늄-235, 우라늄-238 등의 표현을 접합니다. 수소, 탄소, 세슘, 우라늄 등 원소는 원자핵 속의 양성자 개수에 의해 구분되고, 이를 ‘원자번호’라 합니다. 이들 각각의 원자핵에는 1개, 6개, 55개, 92개의 양성자가 들어있으므로 원자번호는 1, 6, 9, 55, 92입니다. 그렇지만, 같은 종류의 원소에서도 중성자의 개수는 다를 수 있어서 양성자와 중성자"
"""친구들과 이야기하는 원자력 안전"" 1. 원자력이란? (Part 3)","를 합한 개수를 ‘질량수’라 하고 원소 이름 뒤에 표시합니다. 예를 들어, 탄소-12의 원자핵은 양성자 6개, 중성자 6개로 구성되지만, 탄소-14는 양성자 6개와 중성자 8개로 구성됩니다. 그렇다면 우라늄-238은 어떨까요? 양성자 개수가 92이므로 중성자 개수는 238-92=146개가 됩니다. 자연계에 존재하거나 인공적으로 만들 수 있는 원자의 종류는 매우 많습니다. 이를 구분하기 위해 '핵종'(Nuclide)라는 용어가 사용되는데, 양성자 수나 중성자 수 중에서 어느 하나라도 다르면 다른 핵종입니다. '동위원소'(Isotope)는 원래 원자번호가 같지만 질량수가 다른(즉, 양성자 수는 같으나 중성자 수가 다른) 핵종들을 가리키는 용어였으나, 실제로는 '핵종'과 유사한 의미로 사용되는 경우가 많습니다. [다시 방사능, 핵분열, 핵융합에 대해 살펴봅니다.] 방사능은 불안정한 상태의 원자핵들이 방사선을 방출하면서 좀더 안정적으로 변해가는 고유한 성질입니다. 원자력 발전을 위험하다고 생각하는 이유도 방사능을 지니는 방사성물질을 많이 만들어내기 때문이지요. 우리는 물질의 종류와 양을 알면 방사선이 얼마나 나오고, 시간에 따라 방사능이 어떻게 변할 것인지를 정확하게 알 수 있습니다. 물론 자연계에는 방사능을 띠지 않는 원자들도 많습니다. 방사능을 지니는 핵종을 방사성동위원소 (Radioisotope; RI), 방사능이 없는 핵종을 비방사성(안정) 동위원소(Stable Isotope)라고 합니다. 고고학에서 중요한 탄소연대측정법은 방사능이 없는 탄소-12와 방사능을 지닌 탄소-14간의 비율을 측정해서 추정합니다. 현 시점에서 원자력의 대표주자인 핵분열 반응도 아무 물질에서나 쉽게 일어나는 것이 아닙니다. 핵분열 원자로에서는 주로 우라늄-235나 플루토늄-239가 중성자를 흡수하여 원자핵이 매우 불안정해지면서 쪼개지는 현상을 이용합니다. 전기를 띠지 않는 중성자는 원자핵에 쉽게 접근하여 반응할 수 있기 때문에, 1938년말 핵분열 현상이 실험적으로 확인된 후부터 1942년 최초의 원자로 가동, 1945년 원자폭"
"""친구들과 이야기하는 원자력 안전"" 1. 원자력이란? (Part 4)","탄 개발, 1951년 원자력 전기 생산, 1955년 원자력 잠수함 완성 등이 매우 빠른 속도로 진행될 수 있었습니다. 그러나 핵융합 반응은 양전기를 띤 원자핵들이 전기적 반발력을 이겨내고 매우 가깝게 접근해야 하므로 쉽지 않습니다. 항성에서는 매우 큰 중력이 원자핵 간의 전기적 반발력을 쉽게 이겨내므로, 핵융합반응이 쉽게 이루어져서 수십억~수백억 년간 유지됩니다. 그러나 지구상에서는 전기적 반발력을 극복하기 위해 다른 방법이 사용되어야 합니다. 수소폭탄에서는 원자폭탄을 터뜨려 얻게 되는 높은 에너지를 이용하여 이를 극복하지만, 안정적인 전기 생산을 위한 실용적인 핵융합 원자로 개발은 더 어렵습니다. 우리나라 국가핵융합연구소의 K-STAR나 국제공동으로 건설중인 ITER에서는 원자를 플라스마 상태(원자핵과 전자를 분리시킨 상태)로 만들어서 전기장으로 가둔 다음 높은 온도로 가열하여 전기적 반발력을 극복하게 합니다. 또 다른 방법으로 레이저를 이용하기도 합니다. 이러한 어려움 때문에 수소폭탄이 1952년 개발된 후 65년이 지났지만, 안전성 측면에서 핵분열 원자로보다 훨씬 유리한 핵융합 원자로의 상용화 시점은 아직 예측하기 어렵습니다. 원자력의 개념과 함께 원자력과 관련한 주요 연표도 그림으로 첨부했으니 참고하시기 바랍니다. 다음에는 원자로와 원자력발전소를 다룰까 합니다^^"
"""친구들과 이야기하는 원자력 안전"" 10.원자력발전소 사고와 고장","[친구와 이야기하는 원자력 안전-10] 원자력발전소 사고와 고장 (*지난 글부터 원전 안전성 확보 원칙을 소개하고 있고, 심층방어에 대한 좀더 구체적인 설명을 준비하고 있었습니다. 그런데, 최근 한울원전 5호기에서 발생한 원자로냉각재펌프 정지 사건에 대해 사고다, 아니다 하는 논란이 있습니다. 며칠전 존경하는 대선배님의 글에 제 생각을 담은 댓글을 올린 바 있는데, 제 시리즈를 보시는 분들께도 도움이 될 것 같아서 댓글의 내용을 보완하여 10번째 글로 대신하려 합니다. 워낙 복잡한 사안이어서 설명하기도 이해하기도 쉽지 않지만, 인내심을 갖고 읽어 주시면 좋겠습니다.^^) [원전 운전상태나 사건(고장, 사고)을 지칭하는 용어의 정확한 이해가 쉽지 않습니다] 원전의 운전상태나 사건, 사고를 지칭하는 용어들이 워낙 다양하고, 때로는 일관성 없이 사용되어온 측면이 있습니다. 따라서 원자력 전문가라 하더라도 관련된 모든 내용을 정확하게 이해하고 균형있게 판단하기 쉽지 않습니다. 이 글을 쓰는 저도 마찬가지라 할 수 있지요. 저는 90년대에 안전해석을 위한 사건∙사고 구분체계의 개선방안을 잠시 연구했었고, ‘원자력 안전’이라는 책을 쓰면서도 되도록 쉽게 내용을 전달하려 고민한 적이 있습니다. 그 당시에도 워낙 다양한 용어들이 사용되어 너무 혼란스럽다고 생각했지요. 미국 원자력규제위원회(U.S.NRC), 미국원자력학회(ANS), 미국기계학회(ASME), 국제원자력기구(IAEA) 등에서 사용해온 용어들에 일관성이 부족했고, 더욱이 우리나라는 영문 용어를 한글로 번역할 때 나타나는 혼란까지 더해졌습니다. 이를 해결하기 위해 새로운 용어 체계를 만들 수도 있겠지만, 이것이 오히려 혼란을 더할 수도 있어서 만족할만한 해결은 쉽지 않을 것 같습니다.  [안전해석 등에 적용되는 ‘초기사건’ 분류와 최종 결과를 기준으로 한 ‘국제원자력사건등급(INES)’이 있습니다] 원전에서 발생할 수 있는 사건∙사고의 체계적인 구분은 주요 기기들과 안전계통의 설계를 위해 필수적입니다. 왜냐하면 자주 발생하는 사건의 경우 핵심 기기들이 건전한"
"""친구들과 이야기하는 원자력 안전"" 10.원자력발전소 사고와 고장 (Part 2)"," 상태로 유지되고 안전문제를 전혀 일으키지 않아야 하지만, 발생 가능성이 매우 낮은 사건에 대해서는 제한된 수준의 기기 손상이나 방사능 누출을 허용할 수밖에 없기 때문이지요. 물론 기기설계 및 안전해석을 위한 사건∙사고의 구분에서 예상되는 발생 빈도를 정밀하게 계산했던 것은 아니고, 사건들의 여러가지 특성을 고려하여 1년에 한 번 정도 발생할 수 있는 사건, 발전소 수명기간에 발생할 수 있는 사건, 발전소 수명기간에 발생할 가능성이 낮은 사건 등으로 구분했습니다. 초기사건들에 대한 체계적인 분류를 선도한 국가는 미국이며, 다른 국가들은 대부분 미국의 기준을 자국의 상황에 맞도록 보완하여 적용합니다. 최근에는 국제원자력기구에서 국제적으로 통용될 안전기준(Safety Standard)을 확립해가고 있는데, 여기서도 초기사건 분류는 중요한 부분입니다. 원전 설계와 안전해석에서 고려하는 이러한 사건들은 일반적으로 ‘초기사건’(Initiating Event) 또는 ‘가상초기사건’(Postulated Initiating Event)이라 합니다. 동일한 초기사건이 발생하더라도 안전설비 작동과 운전원 대응 등에 따라 아무런 피해 없이 수습되기도 하고, 심각한 사고로 발전할 수도 있습니다. 따라서 초기사건 자체에 대해 고장이냐 사고냐를 따지는 것은 논리적으로 맞지 않습니다. 그럼에도 불구하고, 어떤 초기사건은 그 자체로 심각한 상황이 될 수 있고, 초기사건을 구분하거나 지칭하는 용어에 ‘Accident’가 사용되기도 하므로 절대로 쓰지 말라고 할 수도 없습니다. 원전에서 일어난 일이 사고냐 아니냐를 구분하는 더 합리적인 방법은 최종적인 결과를 기준으로 판단하는 것이겠지요. 이러한 최종 결과는 초기사건과 이에 대한 대응조치가 결합되어 나타납니다. 이를 위해 체르노빌 사고 이후에 국제원자력기구를 중심으로 여러 국제기구들이 합의하여 도입한 것이 ‘국제원자력사건등급’ (INES; International Nuclear and Radiological Event Scale) 체계입니다. 이 글에서는 INES를 먼저 소개하고, 초"
"""친구들과 이야기하는 원자력 안전"" 10.원자력발전소 사고와 고장 (Part 3)","기사건 구분 방법을 설명합니다.  [사고냐 아니냐는 INES를 기준으로 구분하는 것이 가장 합리적입니다] INES는 체르노빌 사고 후에 원자력 시설 등에서 발생하는 사건∙사고들의 심각성을 전문가 간은 물론 대중들과도 효과적으로 소통하기 위해 도입되었습니다. 지진 발생 시 규모와 진도를 통해 효과적으로 소통하듯이 원자력 사건∙사고에도 일관성 있는 등급체계를 도입한 것이지요. INES의 효용성은 후쿠시마 사고를 통해 충분히 입증되었다고 생각합니다. INES에 대한 비교적 상세한 설명을 슬라이드로 첨부했습니다. INES에서는 원자력 사건∙사고들을 0부터 7등급까지로 분류하고 있습니다. - 0등급(Scale 0): Below Scale (등급 외) / Deviation (경미한 고장) - 1등급(Scale 1): Anomaly (단순 고장) - 2등급(Scale 2): Incident (고장) - 3등급(Scale 3): Serious Incident (심각한 고장) - 4등급(Scale 4): Accident with Local Consequences (국지 영향 사고) - 5등급(Scale 5): Accident with Wider Consequences (광역 영향 사고) - 6등급(Scale 6): Serious Accident (심각한 사고) - 7등급(Scale 7): Major Accident (대형 사고) 1~3등급은 Incident, 4-7등급은 Accident로 구분합니다. 위에서 영문 명칭은 INES에서 사용하는 공식 명칭이고, 국문 명칭의 경우 원자력안전위원회 고시(제2014-17호)에서 Incident를 ‘고장’으로, Accident를 ‘사고’로, Below Scale을 ‘등급 외’로 칭하고 있습니다. 각 등급에 대한 국문 명칭으로는 조금씩 다른 표현들이 사용되기도 합니다.  INES 등급을 구분할 때는 3가지가 척도가 사용됩니다[표 2]. 첫째는 방사성물질 방출량이나 사망자 수, 피폭선량 등 인간과 환경에 끼친 영향입니다. 둘째는 방사성물질과 환경 사이의 방호벽이나 제어기능의 손상 정"
"""친구들과 이야기하는 원자력 안전"" 10.원자력발전소 사고와 고장 (Part 4)","도이고, 셋째는 심층방어 체계(다음 글에서 상세하게 다룸)의 훼손 정도이지요. 어떤 사건이 발생하면 세 가지 척도에 기준하여 등급을 각각 산정한 후 그 중에서 가장 높은 값으로 등급을 결정하게 됩니다. 영문을 국문으로 번역할 때, Event를 ‘사건’으로 Accident를 '사고'로 부르는 것은 비교적 자연스럽지만, Incident를 ‘고장’으로 부르는 것은 조금 어색한 부분도 있습니다. 0등급(Deviation)이나 1등급(Anomaly) 사건 정도가 우리가 일상생활에서 '고장'이라는 단어를 사용할 때의 의미와 가까운 것 같습니다. 그렇지만, 사고(Accident)와 구분하기 위해 Incident를 '고장'으로 부르기로 하여 원안위 고시에도 들어가 있으니까 수용하는 것이 좋겠지요. 한울5호기 냉각재펌프 정지사건에 대한 등급 판정은 아직 이루어지지 않았습니다만 0등급이 아닐까 생각합니다. 다른 요인들이 결합되어 등급이 상향되더라도 1등급(Anomaly)을 넘지는 않을 것입니다.  [원전의 안전해석이나 기기설계에서는 초기사건(Initiating Event) 분류가 사용됩니다] 원자력 전문가들 간에도 소통이 어렵고 때로는 오해를 불러일으키는 것이 안전해석이나 기기설계 등에서 사용하는 ‘초기사건’(Initiating Event) 또는 ‘가상초기사건’(Postulated Initiating Event) 분류입니다. 미국의 경우 안전규제기관은 원자력규제위원회(U.S.NRC; Nuclear Regulatory Commission)이며, 기본적인 안전규정은 10 CFR (Code of Federal Regulations, Title 10)이고, Regulatory Guide 등 여러 보조기준들을 개발하여 적용하고 있습니다. 아울러 미국원자력학회(ANS), 미국기계학회(ASME) 등 민간 학회/협회들이 개발한 기준과 규격들을 규제활동에 활용하고 있습니다. 안전해석에 대해서는 주로 원자력학회의 기준이, 기기설계에 대해서는 주로 기계학회의 기준이 사용되지요.  U.S.NRC와 ANS, ASME 등은 다양한 방법으로 초기"
"""친구들과 이야기하는 원자력 안전"" 10.원자력발전소 사고와 고장 (Part 5)","사건들을 구분하고 있는데, 발생 가능성을 고려하여 몇 개 그룹으로 구분하고, 발생 가능성이 높은 사건일수록 사건의 결과에 대한 허용기준(Acceptance Criteria)을 더욱 엄격하게 설정합니다. 첨부된 슬라이드의 [표 3]에는 미국에서 과거에 적용되었거나 현재 적용되는 주요 구분 방법들이 예상 발생빈도를 기준으로 제시되어 있습니다. [표 3]에서 점선으로 표시한 것은 발생확률(예상발생빈도)을 엄밀하게 적용한 것이 아님을 나타냅니다.  현재 미국에서 유효한 가장 기본적인 구분방법은 10CFR50(Domestic Licensing of Production and Utilization Facilities)의 Normal Operation (정상운전), Anticipated Operational Occurrences (AOO; 예상운전과도사건), Postulated Accident (가상사고) 등 3단계 구분입니다. - 예상운전과도사건(AOO): 발전소 수명기간에 한 번 이상 발생할 것으로 예상되는 사건 - 가상 사고: 발전소 수명기간에 발생할 가능성은 적으나 안전해석에서 고려하는 사고  한편, 원전 인허가를 위한 안전성분석보고서 작성 방법을 제시하는 Regulatory Guide 1.70(Standard Format and Content of Safety Analysis Reports for Nuclear Power Plants (LWR Edition))에서는 초기사건을 Normal Operation(정상운전), Incidents of Moderate Frequency(보통빈도사건), Infrequent Incidents(희귀빈도사건), Limiting Faults(극한사건) 등 4단계로 구분합니다.   - 보통빈도사건: 연간 1회 수준으로 발생 가능한 사건 - 희귀빈도사건: 수명기간에 1회 내외로 발생 가능한 사건 - 극한사건: 수명기간에 발생할 가능성은 낮으나 안전해석에서 고려하는 사건 미국원자력학회(ANS)의 규격인 ANSI-N18.2/ANS-51.1(1973)(Nuclear Safety Cri"
"""친구들과 이야기하는 원자력 안전"" 10.원자력발전소 사고와 고장 (Part 6)","teria for the Design of Stationary Pressurized Water Reactor (PWR) Plants)에서는 초기사건을 Condition I, II, III, IV로 구분하는데, 이는 Regulatory Guide 1.70의 4단계와 대체로 일치합니다. 미국원자력학회는 1983년 발생확률(예상발생빈도) 기준을 더욱 엄격하게 적용하여 Plant Condition 1부터 5까지로 구분하는 새로운 분류체계를 ANSI/ANS-51.1(1983) (Nuclear Safety Criteria for the Design of Stationary Pressurized Water Reactor Plants)를 통해 제안했었으나, U.S.NRC에 의해 인정되지 않은 채 1998년 취소되었습니다. 국제원자력기구의 안전기준문서(SSG-2)에서는 예상되는 발생빈도를 기준으로 Expected, Possible, Unlikely, Remote 등 4단계로 구분하는 방법을 제시한 바 있으며, 네번째 슬라이드 [표 4]에 소개했습니다.  우리나라에서는 초기사건을 예상발생빈도에 따라 다음 2가지로 구분하여 안전해석을 수행하도록 요구하고 있습니다.(자료: 한국원자력안전기술원 기술기준) - 예상운전과도: 정상운전은 아니나, 안전에 중요한 영향을 미치는 원자로시설에 심각한 손상을 일으키지 아니하거나 사고상태로 진전되지 아니하는 상태로서 원자로시설의 수명기간동안 수차례 발생이 예상되는 운전상태 - 설계기준사고: 원자로시설의 수명기간 동안 발생할 것으로 예상되지 않지만, 설계기준에 적합하기 위하여 설비의 설계시 고려하여야 하는 사고  [초기사건 구분과 안전해석의 허용기준을 함께 이해하는 것이 필요합니다] 앞에서 설명한 초기사건들은 안전해석 또는 기기설계에서의 허용기준(Acceptance Criteria)과 연계하여 이해되어야 합니다. Condition II 초기사건에 대해서는 핵연료 손상이 일어나지 않고, 원자로계통 등의 압력이 설계압력의 110% 이하이고, 발전소 외부로의 방사능 누출이 없어야 합니다. Cond"
